,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
211,9,LabelSpreading,0.73,0.444,0.578,0.779,0.444,0.73,0.473,0.73
212,9,LinearDiscriminantAnalysis,0.981,0.984,0.901,0.984,0.984,0.981,0.917,0.982
213,9,LinearSVC,0.99,0.838,0.841,0.989,0.838,0.99,0.839,0.989
214,9,LogisticRegression,0.992,0.864,0.846,0.991,0.864,0.992,0.854,0.991
215,9,NearestCentroid,0.864,0.804,0.625,0.919,0.804,0.864,0.623,0.884
216,9,PassiveAggressiveClassifier,0.983,0.778,0.818,0.982,0.778,0.983,0.794,0.982
217,9,Perceptron,0.984,0.781,0.82,0.982,0.781,0.984,0.796,0.983
218,9,QuadraticDiscriminantAnalysis,0.511,0.582,0.636,0.753,0.582,0.511,0.531,0.547
219,9,RandomForestClassifier,0.994,0.903,0.991,0.994,0.903,0.994,0.926,0.994
220,9,RidgeClassifier,0.947,0.591,0.598,0.921,0.591,0.947,0.593,0.933
221,9,RidgeClassifierCV,0.947,0.591,0.598,0.921,0.591,0.947,0.593,0.933
222,9,SGDClassifier,0.971,0.712,0.763,0.969,0.712,0.971,0.735,0.969
223,9,SVC,0.971,0.722,0.761,0.969,0.722,0.971,0.739,0.97
224,9,LGBMClassifier,0.996,0.911,0.876,0.996,0.911,0.996,0.891,0.996
225,10,AdaBoostClassifier,0.636,0.263,0.376,0.541,0.263,0.636,0.232,0.522
226,10,BaggingClassifier,0.995,0.987,0.981,0.995,0.987,0.995,0.984,0.995
227,10,BernoulliNB,0.886,0.736,0.7,0.913,0.736,0.886,0.704,0.89
228,10,CalibratedClassifierCV,0.99,0.929,0.892,0.991,0.929,0.99,0.885,0.99
229,10,DecisionTreeClassifier,0.994,0.975,0.926,0.994,0.975,0.994,0.939,0.994
230,10,DummyClassifier,0.423,0.125,0.053,0.179,0.125,0.423,0.074,0.251
231,10,ExtraTreeClassifier,0.966,0.875,0.92,0.965,0.875,0.966,0.894,0.965
232,10,ExtraTreesClassifier,0.995,0.861,0.862,0.995,0.861,0.995,0.861,0.995
233,10,GaussianNB,0.238,0.389,0.489,0.804,0.389,0.238,0.263,0.357
234,10,KNeighborsClassifier,0.81,0.489,0.638,0.815,0.489,0.81,0.519,0.8
235,10,LabelPropagation,0.738,0.485,0.735,0.796,0.485,0.738,0.536,0.74
236,10,LabelSpreading,0.738,0.485,0.735,0.796,0.485,0.738,0.536,0.74
237,10,LinearDiscriminantAnalysis,0.979,0.984,0.924,0.981,0.984,0.979,0.943,0.979
